//X Y Z Point_Source_ID Scan_Angle_Rank Flightline_Edge Number_of_Returns Return_Number Time Intensity Classification
236466.09002686 548266.79000092 32.84999847 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.607186 46.000000 1.000000
236466.28997803 548266.51999664 32.91999817 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.607188 27.000000 1.000000
236466.48999023 548266.23999786 33.00999832 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.607191 40.000000 1.000000
236466.67999268 548265.97000122 33.08000183 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.607194 51.000000 1.000000
236466.85998535 548265.70999908 33.15000153 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.607196 48.000000 1.000000
236467.04998779 548265.44000244 33.24000168 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.607199 33.000000 1.000000
236467.25000000 548265.16999817 33.36000061 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.607201 28.000000 1.000000
236467.46002197 548264.87000275 33.43999863 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.607204 57.000000 1.000000
236467.65002441 548264.62000275 33.54999924 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.607207 85.000000 1.000000
236467.85998535 548264.33000183 33.65000153 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.607209 28.000000 1.000000
236468.03997803 548264.06999969 33.79000092 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.607212 43.000000 1.000000
236468.22998047 548263.81000137 33.91999817 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.607214 57.000000 1.000000
236468.41998291 548263.54999924 34.06000137 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.607217 40.000000 1.000000
236468.63000488 548263.25999832 34.16999817 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.607219 73.000000 1.000000
236468.83001709 548262.97999954 34.31000137 168.000000 1.000000 0.000000 2.000000 1.000000 234371016.607222 12.000000 1.000000
236461.46002197 548271.31999969 16.53000069 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.613060 202.000000 1.000000
236461.77001953 548271.05000305 18.37000084 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.613063 83.000000 1.000000
236461.88000488 548270.75000000 16.94000053 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.613066 206.000000 1.000000
236462.09997559 548270.45999908 17.19000053 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.613068 203.000000 1.000000
236462.27001953 548270.18000031 16.92000008 168.000000 2.000000 0.000000 1.000000 1.000000 234371016.613071 179.000000 1.000000
236464.23999023 548268.83999634 32.41999817 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.613084 24.000000 1.000000
236464.44000244 548268.55000305 32.45999908 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.613086 67.000000 1.000000
236464.61999512 548268.29000092 32.47000122 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.613089 24.000000 1.000000
236464.82000732 548268.00000000 32.49000168 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.613092 24.000000 1.000000
236465.01000977 548267.73999786 32.56000137 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.613094 34.000000 1.000000
236465.20001221 548267.45999908 32.58000183 168.000000 2.000000 0.000000 2.000000 1.000000 234371016.613097 26.000000 1.000000
