//X Y Z Point_Source_ID User_Data Scan_Angle_Rank Number_of_Returns Return_Number Time Intensity Classification
223033.30999756 536564.62999725 18.94000053 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.887012 94.000000 6.000000
223033.02999878 536564.73000336 19.02000046 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.887015 205.000000 6.000000
223032.74000549 536564.83999634 19.29000092 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.887017 142.000000 6.000000
223032.46000671 536564.94999695 19.32999992 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.887020 137.000000 6.000000
223032.14999390 536565.06999969 19.32999992 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.887022 148.000000 6.000000
223031.83999634 536565.19999695 19.31999969 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.887025 106.000000 6.000000
223032.13000488 536564.98000336 35.15999985 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.887028 581.000000 6.000000
223031.25000000 536565.43000031 19.31999969 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.887030 105.000000 6.000000
223031.39999390 536565.29000092 31.13999939 162.000000 2.000000 -2.000000 1.000000 1.000000 143024621.887033 335.000000 6.000000
223030.66999817 536565.66000366 19.09000015 162.000000 2.000000 -2.000000 2.000000 1.000000 143024621.887035 180.000000 6.000000
223030.38000488 536565.76999664 19.18000031 162.000000 2.000000 -3.000000 2.000000 1.000000 143024621.887038 43.000000 6.000000
223030.08999634 536565.88999939 19.38999939 162.000000 2.000000 -3.000000 2.000000 1.000000 143024621.887041 15.000000 6.000000
223042.97000122 536561.11999893 23.03000069 162.000000 2.000000 -1.000000 2.000000 1.000000 143024621.893065 32.000000 6.000000
223042.66999817 536561.24000168 22.68000031 162.000000 2.000000 -1.000000 2.000000 1.000000 143024621.893068 64.000000 6.000000
223042.35000610 536561.36999893 22.53000069 162.000000 2.000000 -1.000000 2.000000 1.000000 143024621.893070 18.000000 6.000000
223042.07000732 536561.47999954 22.39999962 162.000000 2.000000 -1.000000 2.000000 1.000000 143024621.893073 61.000000 6.000000
223041.75000000 536561.59999847 22.23999977 162.000000 2.000000 -1.000000 2.000000 1.000000 143024621.893076 16.000000 6.000000
223041.47000122 536561.70999908 22.09000015 162.000000 2.000000 -1.000000 2.000000 1.000000 143024621.893078 32.000000 6.000000
223040.89999390 536561.93999863 21.70999908 162.000000 2.000000 -1.000000 2.000000 1.000000 143024621.893083 46.000000 6.000000
